ep_id,podc_id,ep_title,ep_audio_lenth,ep_pub_date
b89f11e3c36b45bf825183aabe659e00        ,5867f50baec54c16a5f60723b76a2e03        ,PFB 013 – 2017 NFL Week 13 Plays                                      ,2185,2017-12-01
4117d7314ae14251b2e1a23629b50c01        ,4ab45ab1edb140bebdc0b5b45fc43257        ,AlibiCast #90: No Pun Intended                                        ,1433,2017-12-01
bd06f9a938f340acb5e558b0e038b651        ,8ea458e888784a7792d870e5a754598c        ,Sugar Industry False PR and Facts                                     ,2706,2017-12-02
b3ad771269164df8b5fe78d9b3e50f5b        ,c2089afc563a41afb00353d2a1359db6        ,The Drive is Live with Tom Crawford at Reno's East!                   ,8766,2017-12-01
588de3f6285e4ea387df07abf7609a1f        ,c2089afc563a41afb00353d2a1359db6        ,The Spartan Beat with Darien Harris!: Matt Costello and Ike Reese     ,2834,2017-12-01
84dd4a0fad64492bb617f42c6153b22d        ,98d2cf3d8aa1497bbec076a8e937aaf6        ,BUFF EATS TT                                                          ,2103,2017-12-01
9cfb2b115ae24bd5a41ff277579009bd        ,a24ee443f03440d7844cf9ca71f7ff2d        ,Rach's Donald Trump Interview                                         ,166,2017-12-01
e999a2e7293d4d3880ec123cb7ab5cc8        ,a24ee443f03440d7844cf9ca71f7ff2d        ,Daryl Braithwaite - The Horses Lost Sessions                          ,177,2017-12-01
6857891b4d0d40ab880e3fc3adc38914        ,a24ee443f03440d7844cf9ca71f7ff2d        ,Johnno's Prize Winner Text                                            ,166,2017-12-01
0fb14dadb9f141a7b5456d8948680139        ,83f8a0eb63fd4f689c53f50bbfa3e689        ,1130-SFHSS Show                                                       ,4977,2017-12-01
9c73da9afbe84938aac93587e48889c8        ,bd615f73c32f4339bfed9f8d2f98c8e6        ,"Thursday, 11.30.17 - The Church of Lazlo Podcast                      ",5286,2017-12-01
23636eb7fd604815b74798de8d0f799c        ,83f8a0eb63fd4f689c53f50bbfa3e689        ,Thursday: Fight Night Hour 2                                          ,2445,2017-12-01
f274c660cf84486596989db31744b734        ,83f8a0eb63fd4f689c53f50bbfa3e689        ,Thursday: Fight Night Hour 1                                          ,2362,2017-12-01
22b4862990534a89be364d1f9ee41513        ,5817a09eb446489d9b62eee9faf765b5        ,Riley-Rose + Seamus PODCAST Friday 1st December                       ,1094,2017-12-01
278e08234ba94575aa93382d49e3cc75        ,d0eeab85e81c41c18f391086a9af717d        ,The Call To Wisdom                                                    ,7800,2017-12-01
e139aa647eca47d7ab8265ff62cda0f9        ,d0eeab85e81c41c18f391086a9af717d        ,Miracles are Still Possible                                           ,1920,2017-12-01
7512a2a7461d44de97231102b28ed5f3        ,d0eeab85e81c41c18f391086a9af717d        ,Guest Speaker - Missionary Steve Douglas                              ,2940,2017-12-01
33624da96afc40b392c2c1631acb769e        ,d0eeab85e81c41c18f391086a9af717d        ,Guest Speaker - Missionary Bob Devoe                                  ,2760,2017-12-01
ef79d5e6909e48e98924f413fda02c62        ,d0eeab85e81c41c18f391086a9af717d        ,The Battle of Jericho 1                                               ,2040,2017-12-01
1833624d2b5d4de29908a3cd3d2a4af3        ,d0eeab85e81c41c18f391086a9af717d        ,Celebration Sunday 2017                                               ,1680,2017-12-01
c76b6c06710147769d5b5106139b4b1e        ,d0eeab85e81c41c18f391086a9af717d        ,Living Stones                                                         ,2400,2017-12-01
eefb20a8606b4c1a8e18005b2a223648        ,d0eeab85e81c41c18f391086a9af717d        ,Highly Exalted                                                        ,1920,2017-12-01
710d1e3ada3244c18571a72d229b7fbb        ,d0eeab85e81c41c18f391086a9af717d        ,Walking in the light of the Gospel                                    ,2520,2017-12-01
fab5e3ec15e9475e8ddabf2e2896fb83        ,d0eeab85e81c41c18f391086a9af717d        ,(Practicing Gratitude - Part Three) - Discipline of Thanksgiving      ,1440,2017-12-01
5c9498b9f22f411eb9f3d09859c7e2c2        ,f3b029c089f14a3b81b1e99d87de8292        ,"Students&#8217; Union Weekly - Episode November 30, 2017              ",1799,2017-12-01
b6f1f0337ad243d7bc67f4bee1897a28        ,64311da7804e46238571ce586116f74c        ,Brent Hubbs (11.30.17)                                                ,2216,2017-12-01
f539385ad37745a6bcff34cdbaf9bae4        ,5cc7ad347717431096d5e3d6445696aa        ,8pm EST Newscast                                                      ,240,2017-12-01
77bb2ba13bd6407f9a9d3a403ea14b57        ,aebf2180b7b740b1a37266b152a99d36        ,Running from Death                                                    ,3424,2017-12-01
859476fb31e641faa74c8ca4eba9d615        ,95885527c3f64b6bb5c920b7a9b60c07        ,"Kristen Gillespie, ISU women's basketball coach, 11-30-17             ",346,2017-12-01
84ab19c1adf7468d8c3479ff93fdc57e        ,64311da7804e46238571ce586116f74c        ,"Mercedes Russell, Meme Jackson & Holly Warlick (11.30.17)             ",620,2017-12-01
8637a57c33be4527ba1569d7d2480fd1        ,2d241beeff1d4b399eacbf8a41fb4e24        ,Week Thirteen Preview - Bears vs 49ers                                ,4201,2017-12-01
83e7dd317fd544398e63d679b7e26653        ,d0eeab85e81c41c18f391086a9af717d        ,Godly Goals of Raising Children                                       ,2400,2017-12-01
2548f8a1d618441c97b97d24db8c39ee        ,d0eeab85e81c41c18f391086a9af717d        ,Joshua's Reenlistment                                                 ,3540,2017-12-01
178602323d2b4e198eaa0650b845b4c7        ,d0eeab85e81c41c18f391086a9af717d        ,The LORD Shall Be King                                                ,1560,2017-12-01
a069bd7ee89f4f15a61ad77cf58f89a3        ,d0eeab85e81c41c18f391086a9af717d        ,"Sin, Confession, and Forgiveness                                      ",1980,2017-12-01
1a7ea8bff05e44f49e2c394fe7bc6f0d        ,d0eeab85e81c41c18f391086a9af717d        ,Will you be saved?                                                    ,2040,2017-12-01
ba4829f23e5b42ffa390ac487db4dfce        ,d0eeab85e81c41c18f391086a9af717d        ,The Pilgrims as Psalm Singers                                         ,3660,2017-12-01
5dbe74f0f15049888af42d178bb13eee        ,d0eeab85e81c41c18f391086a9af717d        ,The Voice of the Lord!                                                ,2100,2017-12-01
fddb0db1bb42484fb643660f5a4e9a79        ,ca32937f38bd4168bc5c793151e82faf        ,Ceraso And The Beard Episode 14                                       ,4512,2017-12-01
30bc4ff63e0543ada0ee7c2280e8b6c4        ,ecc8981d4384497193f8f46b18f62d55        ,Global News Podcast: Argentina Ends Missing Sub Rescue Mission        ,1858,2017-12-01
28ac6176998a4166af5c55eaa3dcc710        ,d41b48d089cb41f2b918a4609134252d        ,"Ontario Morning Podcast - Friday December 1, 2017                     ",2533,2017-12-01
5a22373542774a3cb183013af70ff861        ,d0eeab85e81c41c18f391086a9af717d        ,Ask Jeff                                                              ,3600,2017-12-01
81f2bc4731194a3d815960612cdc15c0        ,d0eeab85e81c41c18f391086a9af717d        ,The Instruction Before & the Compassion After Jericho                 ,2160,2017-12-01
1644c8409946409396f7b826589a73e9        ,d0eeab85e81c41c18f391086a9af717d        ,Wise men still come to Jesus                                          ,2340,2017-12-01
8f7a56cd03dc4f098c9271a3938c57af        ,d0eeab85e81c41c18f391086a9af717d        ,Boasting & Bragging neither Beautiful nor Blessed                     ,2640,2017-12-01
0e7e0a46ee1f431c9edce9baf1a2ce8b        ,d0eeab85e81c41c18f391086a9af717d        ,Will You Have a Refuge When You Die?                                  ,3000,2017-12-01
029626e4830442508387a6e31ca37409        ,d0eeab85e81c41c18f391086a9af717d        ,La Vida Cristiana (Parte 6)                                           ,3480,2017-12-01
af3dcb8948f741249f0552d103e22d76        ,d0eeab85e81c41c18f391086a9af717d        ,Five Fold Ministry 7 (Broadcast)                                      ,6180,2017-12-01
89de4b69f62644098ffc1d94f136e9d8        ,d0eeab85e81c41c18f391086a9af717d        ,Solus Christus: In Christ Alone                                       ,1740,2017-12-01
5e15b1380c6340a08dad4b299eda9b0f        ,d0eeab85e81c41c18f391086a9af717d        ,Grace for an Overburdened One                                         ,3660,2017-12-01
7afa9eb5b56f45cab4b10f91ee2cc037        ,d0eeab85e81c41c18f391086a9af717d        ,Doing God's Work In A Godly Way                                       ,2460,2017-12-01
c9adf92663774b6fab3ea316a2c54d99        ,f951d04f29a64614af852884fb6baf54        ,Late Debate: Darren Chester and Tanya Plibersek                       ,1013,2017-12-01
4752576fcbf64879a90dda7bcf2935fc        ,f951d04f29a64614af852884fb6baf54        ,Shearer makes her mark on traditionally male-dominated industry       ,290,2017-12-01
407445c02a8e48d38cd3c7a8d9deb1d5        ,f951d04f29a64614af852884fb6baf54        ,Chatline: Your week in review                                         ,185,2017-12-01
a8131c8435284da2a302b293981b46ea        ,87dc7e8b6a9740c6a9bb3e67ba0a23da        ,Avengers: Infinity War Trailer                                        ,5489,2017-12-01
98a7244bcab94a8498e607646dac689a        ,ea5f7faf9d7041fab985f240f1e48a2c        ,#24 – Joshua Smith of the Think Liberty FB Page/Podcast               ,792,2017-12-01
e48179c61638452f9144332e3b3b619e        ,d0eeab85e81c41c18f391086a9af717d        ,Why CPS Must Be Abolished - The Tyranny of Social Services            ,2400,2017-12-01
fd6b6af99f4649e494fa385be18f7af9        ,d0eeab85e81c41c18f391086a9af717d        ,Be Still                                                              ,2400,2017-12-01
8df636e4abdb49539d8f97af3754c5c9        ,d0eeab85e81c41c18f391086a9af717d        ,Australian Parliament Legalizes Faux Marriage                         ,660,2017-12-01
4c9e6edab9e74684b9cbd8bde8b7b0fb        ,d0eeab85e81c41c18f391086a9af717d        ,Have you Forgotten to Give Thanks                                     ,3060,2017-12-01
628a570f5b8f49a4b86bd189a379d144        ,d0eeab85e81c41c18f391086a9af717d        ,Do Only What Is Pleasant                                              ,1200,2017-12-01
b90b4d15bb4d4904b7826044fd9c91d8        ,d0eeab85e81c41c18f391086a9af717d        ,Hell is for Real: Why It Matters 11-30-17                             ,3240,2017-12-01
b4113a2db7324387900e5edf7827451c        ,d0eeab85e81c41c18f391086a9af717d        ,Confidence in the Scripture                                           ,2220,2017-12-01
9b5c97ade69240a7a88c06191a21b545        ,d0eeab85e81c41c18f391086a9af717d        ,"""Go For The Win"" (Devotional)                                         ",180,2017-12-01
7ce18ab2b02445e89ec344bd08fca115        ,d0eeab85e81c41c18f391086a9af717d        ,Morning Devotion 12/1/17                                              ,360,2017-12-01
c3c2f842535a48e1b1d01903d9ebb5d7        ,d0eeab85e81c41c18f391086a9af717d        ,Facts about Hell                                                      ,2460,2017-12-01
eded6406d00746b38a16ad9f9d802f77        ,224256fbfd7946be86063f783fd47964        ,Ep100 - His Amazing Creation;part 32                                  ,393,2017-12-01
1c61062abe47495fa1a326911caf1d86        ,33fb253ff7f04d3bbe928dca0bcbfffa        ,082 – CHKNGTR                                                         ,3790,2017-12-01
6a7f04e5a16e4d5eb83dcf15a7a43da8        ,a8a29ae6b8724c71b93ebfad3d709066        ,WCPE Episode 181 - Justice League Review                              ,4608,2017-12-01
68bafdc3a4e4444e8fda2d8aab4d44db        ,167be5e62caa400a99971f6576844ce3        ,"Tin Pod #34: T.U.M. Story One, Chapter 3                              ",484,2017-12-01
5d36eed78394414ca3e4bf755457c086        ,0dfaf999c995432ab78d5682bce15b7f        ,"24 Frames - Michelle Hillstrom, Local Author                          ",2592,2017-12-01
520ac4f47a70485691ef74938e76bd40        ,ad943feaea2e4012a37a0009f2d17e34        ,The Anarchist Experience – 141                                        ,3666,2017-12-01
8cb1dfa84dbc4e71bc854411a2cd1139        ,d0eeab85e81c41c18f391086a9af717d        ,2017 Questions & Answers Pt 1                                         ,900,2017-12-01
c9e9db6d93e54e519ef099a27b1740cd        ,d0eeab85e81c41c18f391086a9af717d        ,Westminster Shorter Catechism Question 029                            ,960,2017-12-01
766f3bb257804da1b652e2590705ca55        ,d0eeab85e81c41c18f391086a9af717d        ,Pearl Harbour - The Untold Story                                      ,4920,2017-12-01
9764d177eb19429e8a2b5743e58574c6        ,d0eeab85e81c41c18f391086a9af717d        ,Christ and the Law                                                    ,2400,2017-12-01
5c547b8083284860844a73abbc01e8c5        ,d0eeab85e81c41c18f391086a9af717d        ,Keys to Living for Christ 1: What Shall I Choose?                     ,2340,2017-12-01
c30c486bbf8d409a93c84ab864b8419d        ,d0eeab85e81c41c18f391086a9af717d        ,The Covenant Of Grace                                                 ,1920,2017-12-01
df54d654d0bd4cb49c8b855a5c7c0dfd        ,d0eeab85e81c41c18f391086a9af717d        ,Adopted into the Family                                               ,2640,2017-12-01
b8a1747b17284a9ea81d40d8ab649b2b        ,d0eeab85e81c41c18f391086a9af717d        ,Rejoicing in the way of God's Word                                    ,2400,2017-12-01
50b84f7b81a347b58019f30144ea0acb        ,d0eeab85e81c41c18f391086a9af717d        ,The First Missionary Church                                           ,2040,2017-12-01
7b9656fc90044ac7a5e9071560ec3ead        ,5cc7ad347717431096d5e3d6445696aa        ,3am EST Newscast                                                      ,240,2017-12-01
f3ca4ab0e5e64144a9ecfdcf59e839dc        ,a9b9b11d5d6e4fe087c560bc6c82d99d        ,"Para vender títulos no mercado, é preciso ter atenção                 ",114,2017-12-01
df3bc8685b8b485c8e7803ef42d828a6        ,fabc016d70d84ab187ae5aa7944f31e8        ,123 – A Discussion About Crypto-Currency                              ,2522,2017-12-01
dfc48a9dbd544deb90edc503ff1f9e11        ,c4d4c8fedd4a4e1da1c96da1cd833126        ,Episode 70 - Lava's A Many Splendored Thing                           ,2418,2017-12-01
d1788303009c4ef9bdf2ea3cf11db332        ,2c64268fec62449eb3ac65c21c756e87        ,"Hirschmania, the final chapter                                        ",4639,2017-12-01
689a4ea373e74d34accd86e78b3453ca        ,01b6308d52e14c51846c54ac9ef22212        ,«Sex» von Hugo Rendler                                                ,131,2017-12-01
101174cb2d294a33b3022048969ff080        ,d0eeab85e81c41c18f391086a9af717d        ,What we shall be                                                      ,3120,2017-12-01
ece846cf7b734842a235abffcc3e6421        ,d0eeab85e81c41c18f391086a9af717d        ,The God Who Needs Nothing 146                                         ,3720,2017-12-01
2ae0c3d81ae542e9834649bc0909ce39        ,d0eeab85e81c41c18f391086a9af717d        ,Westminster Shorter Catechism Question 030                            ,900,2017-12-01
fc3bdc63db984839b66bb5c5d763d902        ,d0eeab85e81c41c18f391086a9af717d        ,Treasuring Christ                                                     ,3480,2017-12-01
7ef6f90f33394b4d9f4dbd7e82507284        ,d0eeab85e81c41c18f391086a9af717d        ,Tares amongst Wheat                                                   ,1560,2017-12-01
f613650217a3474aa8a7197cf0304d8f        ,d0eeab85e81c41c18f391086a9af717d        ,"Princes, Politicians, Persecution vs Praise                           ",1860,2017-12-01
305143cbe5e748c3b4242a510162ed43        ,883bc4b3505146aebe76ec704d56c482        ,"D/s Isn’t About Sex, It’s About Power LB110 - Loving BDSM             ",3539,2017-12-01
3a9f61796f104e2aa3e046ea384add20        ,c809cec5df434311b9954de1137bfabd        ,12/1/17  In honor of the fact that scientists...                      ,124,2017-12-01
8db40bdeb1d4422b89f4eaa6c6da7cd4        ,8cbbbd3cd7a04bfea888cadd7d3c668a        ,Heavy Cardboard Episode 92 - Kepler-3042                              ,3208,2017-12-01
24c7ea53bd9141a5ad558af081719a31        ,0463b61458ea4ef6a5c9d90e45b14691        ,EP93 - Edinburgh Fringe Live Q&A Panel with 3 Comedy Agents           ,5607,2017-12-01
093318e709d24436ac94c85c255cdcc6        ,d0eeab85e81c41c18f391086a9af717d        ,Heaven Celebrates Christ's Coming Reign                               ,3540,2017-12-01
9ef483ef242f46fb8c699d73e9ba7728        ,d0eeab85e81c41c18f391086a9af717d        ,Hanukkah and the Rock of Ages                                         ,300,2017-12-01
f199fce448b44d669bbb083d2bb5bb3a        ,d0eeab85e81c41c18f391086a9af717d        ,Westminster Shorter Catechism Question 032                            ,960,2017-12-01
7a65067bdffd41d5ab12dd8c357fcce3        ,d0eeab85e81c41c18f391086a9af717d        ,Snakes and Vocal Chords                                               ,2820,2017-12-01
bb8c06c506e643318e7bbb2f32ee47d0        ,d0eeab85e81c41c18f391086a9af717d        ,Petitioning The Most High God                                         ,2580,2017-12-01
51a1de24283f469cb77443013f777f2e        ,d0eeab85e81c41c18f391086a9af717d        ,Life of Christ: Lesson 11 (cont)                                      ,2940,2017-12-01
8f8d79a7a81a4bb9a0a344b8ac5501cc        ,d0eeab85e81c41c18f391086a9af717d        ,What Is Your Greatest Passion?                                        ,2280,2017-12-01
c0c6582456b84863a932187b0904673a        ,d0eeab85e81c41c18f391086a9af717d        ,The Challenge of Christian Charity                                    ,2160,2017-12-01
e5dc7e0432094c678b0add7787898202        ,d0eeab85e81c41c18f391086a9af717d        ,A Losing Proposition                                                  ,1740,2017-12-01
8a331271eea64436b81ce1d9b2970092        ,d0eeab85e81c41c18f391086a9af717d        ,The Secret To Victory In Jesus - Part 6                               ,1920,2017-12-01
47cc26fe069741cba3147a7597dedc05        ,64311da7804e46238571ce586116f74c        ,THE EA SHOW 12.1.17 HOUR #2                                           ,3692,2017-12-01
79eca2428a724285962ac36ee3bc0a73        ,64311da7804e46238571ce586116f74c        ,THE EA SHOW 12.1.17 HOUR #1                                           ,3692,2017-12-01
1a0af3093e5641509e7967870d06557c        ,98841215fa794a5e8f0dfa4b3de46bae        ,My Feed: Matt Wright                                                  ,531,2017-12-01
a1873e349c9e408e91d6f166106be5b5        ,98841215fa794a5e8f0dfa4b3de46bae        ,The art of 'monstrous' men                                            ,651,2017-12-01
d3d9548d381248a2b150333724a6ceea        ,98841215fa794a5e8f0dfa4b3de46bae        ,NSW Deputy Premier calls on Prime Minister to quit before Christmas   ,474,2017-12-01
0215d47c4ebc47a19403707023bb8f05        ,98841215fa794a5e8f0dfa4b3de46bae        ,Victorians bracing themselves for unprecedented rain                  ,686,2017-12-01
8bac37bb631e4297a39ac9838bbdac9e        ,c28e1ce5c35944ac860116529a8d3880        ,The Super Skull Holiday Gift Guide: 2017                              ,3858,2017-12-01
b3ced9dda0bd4d1a9ce372145e7334be        ,c2089afc563a41afb00353d2a1359db6        ,"Amber Ballard, Firekeepers Casino                                     ",441,2017-12-01
5d5015947aad489ca38a84093ee07ecb        ,c2089afc563a41afb00353d2a1359db6        ,"John Asher,  Strategist                                               ",531,2017-12-01
09a378e7938440bb901a6e6997c5df27        ,c2089afc563a41afb00353d2a1359db6        ,Rep. Steve Johnson on the Immunization bill                           ,434,2017-12-01
528bcbc55c364c558c4d15bb7282149f        ,c2089afc563a41afb00353d2a1359db6        ,U.S. Rep. Bill Huizenga                                               ,539,2017-12-01
2ef4ae99fc3a49e393cffba0f21f497f        ,c2089afc563a41afb00353d2a1359db6        ,"Ron Van Timmeren, Celebration Cinemas                                 ",443,2017-12-01
793eb6eb752b4fdcad47e4791c6aa855        ,c2089afc563a41afb00353d2a1359db6        ,"Dan Quisenberry, MAPSA                                                ",530,2017-12-01
81b63a28684c4e64ba9593921a467e64        ,c2089afc563a41afb00353d2a1359db6        ,"Steve Hood, Detroit political consultant on John Conyers              ",442,2017-12-01
9fa01412753c40199d9fe385a131c6b0        ,c2089afc563a41afb00353d2a1359db6        ,News Headlines                                                        ,541,2017-12-01
c968fc9f44374bfea12579c7de01df1a        ,184dc14ae8914c14a7fd43001c072610        ,Why Birds&#039; Feet Don&#039;t Freeze                                ,103,2017-12-01
1d63fb7e711741b094a34f041d182ae3        ,ab9cdf85fcaa4e7d8f31c535d3d622a0        ,MINISODE - Running a Seasonal Business                                ,520,2017-12-01
